Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
6;;1.500;max;4.9;2.9;4.0;0.0;1.4;0.2;1.9;
6;;1.500;min;5.3;-0.8;-5.3;0.0;-1.5;-1.0;-1.8;
6;;1.500;max;4.9;2.9;4.0;0.0;1.4;0.2;1.9;
6;;1.500;min;5.3;-0.8;-5.3;0.0;-1.5;-1.0;-1.8;
6;;1.738;max;5.2;3.0;4.2;0.0;0.9;0.1;2.2;
6;;1.738;min;5.6;-0.8;-5.5;0.0;-0.7;-0.6;-2.1;
6;;2.000;max;5.4;3.2;4.4;0.0;0.4;0.0;2.5;
6;;2.000;min;5.7;-0.8;-5.6;0.0;-0.4;-0.4;-2.4;
6;;2.000;max;5.4;3.2;4.4;0.0;0.4;0.0;2.5;
6;;2.000;min;5.7;-0.8;-5.6;0.0;-0.4;-0.4;-2.4;
6;;2.190;max;5.4;3.1;4.4;0.0;0.8;0.2;2.7;
6;;2.190;min;5.6;-0.8;-5.5;0.0;-0.2;-0.2;-2.6;
6;6;4.000;max;2.3;0.8;2.2;0.1;4.0;2.6;5.0;
6;6;4.000;min;1.9;-0.5;-1.8;0.0;-1.9;0.1;-4.8;
6;6;4.000;max;2.3;0.8;2.2;0.1;4.0;2.6;5.0;
6;6;4.000;min;1.9;-0.5;-1.8;0.0;-1.9;0.1;-4.8;
Extremes;;2.000;u_X;5.4;3.2;4.4;0.0;0.4;0.0;2.5;CO16
6;;2.000;u_X;5.7;-0.8;-5.6;0.0;-0.4;-0.4;-2.4;CO10
6;;2.000;u_Y;5.4;3.2;4.4;0.0;0.4;0.0;2.5;CO16
6;;2.000;u_Y;5.7;-0.8;-5.6;0.0;-0.4;-0.4;-2.4;CO15
6;6;4.000;u_Z;2.3;0.8;2.2;0.1;4.0;2.6;5.0;CO5
6;7;0.000;u_Z;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;CO1
6;6;4.000;φ_X;2.3;0.8;2.2;0.1;4.0;2.6;5.0;CO15
6;7;0.000;φ_X;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;CO15
6;6;4.000;φ_Y;2.3;0.8;2.2;0.1;4.0;2.6;5.0;CO6
6;7;0.000;φ_Y;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;CO16
6;6;4.000;φ_Z;2.3;0.8;2.2;0.1;4.0;2.6;5.0;CO15
6;6;4.000;φ_Z;1.9;-0.5;-1.8;0.0;-1.9;0.1;-4.8;CO16
Total;;;;5.7;3.2;4.4;0.1;4.0;2.6;5.0;
