Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
9;;1.738;max;-0.01;0.00;0.02;0.1;2.2;0.0;
9;;1.738;min;-0.03;0.00;-0.02;-0.1;-2.0;-0.3;
9;;2.238;max;-0.01;0.00;0.01;0.1;2.3;0.0;
9;;2.238;min;-0.03;0.00;-0.01;-0.1;-2.0;-0.3;
9;5;4.500;max;-0.01;0.00;0.07;0.0;0.0;0.0;
9;5;4.500;min;-0.03;0.00;-0.08;0.0;0.0;0.0;
9;5;4.500;max;-0.01;0.00;0.07;0.0;0.0;0.0;
9;5;4.500;min;-0.03;0.00;-0.08;0.0;0.0;0.0;
Extremes;5;4.500;ε_x;-0.01;0.00;0.07;0.0;0.0;0.0;CO10
9;10;0.000;ε_x;-0.03;0.00;-0.11;0.0;0.0;0.0;CO6
9;10;0.000;γ_xy;-0.01;0.00;0.13;0.0;0.0;0.0;CO6
9;5;4.500;γ_xy;-0.03;0.00;-0.08;0.0;0.0;0.0;CO6
9;10;0.000;γ_xz;-0.01;0.00;0.13;0.0;0.0;0.0;CO15
9;10;0.000;γ_xz;-0.03;0.00;-0.11;0.0;0.0;0.0;CO16
9;;3.000;κ_x;-0.01;0.00;0.04;0.1;1.8;0.0;CO16
9;;3.000;κ_x;-0.03;0.00;-0.05;-0.2;-1.6;-0.3;CO15
9;;2.000;κ_y;-0.01;0.00;0.00;0.1;2.3;0.0;CO15
9;;2.000;κ_y;-0.03;0.00;0.00;-0.1;-2.0;-0.3;CO16
9;;2.000;κ_z;-0.01;0.00;0.00;0.1;2.3;0.0;CO9
9;;2.238;κ_z;-0.03;0.00;-0.01;-0.1;-2.0;-0.3;CO6
Total;;;;-0.01;0.00;0.13;0.1;2.3;0.0;
9;;;;-0.03;0.00;-0.11;-0.2;-2.0;-0.3;
;;;;;;;;;;
10;11;0.000;max;-0.02;0.00;-0.04;0.2;0.0;0.0;
10;11;0.000;min;-0.05;0.00;-0.17;-0.2;0.0;0.0;
10;11;0.000;max;-0.02;0.00;-0.04;0.2;0.0;0.0;
10;11;0.000;min;-0.05;0.00;-0.17;-0.2;0.0;0.0;
10;;1.500;max;-0.02;0.00;-0.06;0.6;-0.3;0.0;
10;;1.500;min;-0.05;0.00;-0.17;-0.6;-1.0;-0.3;
10;;1.500;max;-0.02;0.00;-0.06;0.6;-0.3;0.0;
10;;1.500;min;-0.05;0.00;-0.17;-0.6;-1.0;-0.3;
10;12;4.000;max;-0.02;0.00;-0.06;2.7;-0.9;0.0;
10;12;4.000;min;-0.04;0.00;-0.17;-1.6;-2.6;0.0;
10;12;4.000;max;-0.02;0.00;-0.06;2.7;-0.9;0.0;
10;12;4.000;min;-0.04;0.00;-0.17;-1.6;-2.6;0.0;
Extremes;12;4.000;ε_x;-0.02;0.00;-0.06;2.7;-0.9;0.0;CO11
10;11;0.000;ε_x;-0.05;0.00;-0.17;-0.2;0.0;0.0;CO8
10;11;0.000;γ_xy;-0.02;0.00;-0.04;0.2;0.0;0.0;CO9
10;12;4.000;γ_xy;-0.04;0.00;-0.17;-1.6;-2.6;0.0;CO9
10;11;0.000;γ_xz;-0.02;0.00;-0.04;0.2;0.0;0.0;CO12
10;11;0.000;γ_xz;-0.05;0.00;-0.17;-0.2;0.0;0.0;CO9
10;12;4.000;κ_x;-0.02;0.00;-0.06;2.7;-0.9;0.0;CO9
10;12;4.000;κ_x;-0.04;0.00;-0.17;-1.6;-2.6;0.0;CO16
10;11;0.000;κ_y;-0.02;0.00;-0.04;0.2;0.0;0.0;CO16
10;12;4.000;κ_y;-0.04;0.00;-0.17;-1.6;-2.6;0.0;CO5
10;12;4.000;κ_z;-0.02;0.00;-0.06;2.7;-0.9;0.0;CO11
10;;2.000;κ_z;-0.04;0.00;-0.17;-0.8;-1.3;-0.3;CO9
Total;;;;-0.02;0.00;-0.04;2.7;0.0;0.0;
10;;;;-0.05;0.00;-0.17;-1.6;-2.6;-0.3;
;;;;;;;;;;
11;12;0.000;max;-0.01;0.00;0.21;2.1;-0.9;0.0;
11;12;0.000;min;-0.03;0.00;0.09;-2.6;-2.6;0.0;
11;;0.825;max;-0.01;0.00;0.21;2.4;-0.6;0.1;
11;;0.825;min;-0.03;0.00;0.09;-2.9;-2.0;-0.1;
11;;0.825;max;-0.01;0.00;0.21;2.4;-0.6;0.1;
11;;0.825;min;-0.03;0.00;0.09;-2.9;-2.0;-0.1;
11;;1.005;max;-0.01;0.00;0.21;2.4;-0.6;0.1;
11;;1.005;min;-0.03;0.00;0.09;-3.0;-1.8;-0.1;
11;111;1.650;max;-0.01;0.00;0.20;2.7;-0.4;0.0;
11;111;1.650;min;-0.03;0.00;0.08;-3.3;-1.3;-0.1;
Extremes;111;1.650;ε_x;-0.01;0.00;0.20;2.7;-0.4;0.0;CO14
11;12;0.000;ε_x;-0.03;0.00;0.09;-2.6;-2.6;0.0;CO6
11;111;1.650;γ_xy;-0.01;0.00;0.20;2.7;-0.4;0.0;CO16
11;111;1.650;γ_xy;-0.03;0.00;0.08;-3.3;-1.3;-0.1;CO18
11;12;0.000;γ_xz;-0.01;0.00;0.21;2.1;-0.9;0.0;CO9
11;111;1.650;γ_xz;-0.03;0.00;0.08;-3.3;-1.3;-0.1;CO12
11;111;1.650;κ_x;-0.01;0.00;0.20;2.7;-0.4;0.0;CO11
11;111;1.650;κ_x;-0.03;0.00;0.08;-3.3;-1.3;-0.1;CO13
11;111;1.650;κ_y;-0.01;0.00;0.20;2.7;-0.4;0.0;CO12
11;12;0.000;κ_y;-0.03;0.00;0.09;-2.6;-2.6;0.0;CO5
11;;1.031;κ_z;-0.01;0.00;0.21;2.5;-0.6;0.1;CO6
11;;1.031;κ_z;-0.03;0.00;0.08;-3.0;-1.8;-0.1;CO9
Total;;;;-0.01;0.00;0.21;2.7;-0.4;0.1;
11;;;;-0.03;0.00;0.08;-3.3;-2.6;-0.1;
;;;;;;;;;;
12;13;0.000;max;0.00;0.00;0.09;0.7;0.7;0.3;
12;13;0.000;min;-0.03;0.00;0.04;-0.8;0.2;-0.3;
12;;0.787;max;0.00;0.00;0.09;0.7;1.0;0.3;
12;;0.787;min;-0.03;0.00;0.03;-0.8;0.3;-0.2;
12;;0.787;max;0.00;0.00;0.09;0.7;1.0;0.3;
12;;0.787;min;-0.03;0.00;0.03;-0.8;0.3;-0.2;
12;114;1.575;max;0.00;0.00;0.09;0.7;1.2;0.3;
12;114;1.575;min;-0.03;0.00;0.03;-0.8;0.4;-0.2;
Extremes;114;1.575;ε_x;0.00;0.00;0.09;0.7;1.2;0.3;CO13
12;13;0.000;ε_x;-0.03;0.00;0.04;-0.8;0.2;-0.3;CO6
12;114;1.575;γ_xy;0.00;0.00;0.09;0.7;1.2;0.3;CO14
12;114;1.575;γ_xy;-0.03;0.00;0.03;-0.8;0.4;-0.2;CO11
12;13;0.000;γ_xz;0.00;0.00;0.09;0.7;0.7;0.3;CO9
12;114;1.575;γ_xz;-0.03;0.00;0.03;-0.8;0.4;-0.2;CO12
12;13;0.000;κ_x;0.00;0.00;0.09;0.7;0.7;0.3;CO14
12;13;0.000;κ_x;-0.03;0.00;0.04;-0.8;0.2;-0.3;CO11
12;114;1.575;κ_y;0.00;0.00;0.09;0.7;1.2;0.3;CO7
12;13;0.000;κ_y;-0.03;0.00;0.04;-0.8;0.2;-0.3;CO10
12;13;0.000;κ_z;0.00;0.00;0.09;0.7;0.7;0.3;CO18
12;13;0.000;κ_z;-0.03;0.00;0.04;-0.8;0.2;-0.3;CO16
Total;;;;0.00;0.00;0.09;0.7;1.2;0.3;
12;;;;-0.03;0.00;0.03;-0.8;0.2;-0.3;
;;;;;;;;;;
13;14;0.000;max;0.00;0.00;0.02;1.6;1.6;0.3;
13;14;0.000;min;-0.03;0.00;0.00;-1.6;0.6;-0.3;
13;;0.075;max;0.00;0.00;0.02;1.6;1.6;0.2;
13;;0.075;min;-0.03;0.00;0.00;-1.6;0.6;-0.2;
13;;0.075;max;0.00;0.00;0.02;1.6;1.6;0.2;
13;;0.075;min;-0.03;0.00;0.00;-1.6;0.6;-0.2;
13;128;0.150;max;0.00;0.00;0.02;1.6;1.6;0.2;
13;128;0.150;min;-0.03;0.00;0.00;-1.6;0.6;-0.2;
Extremes;14;0.000;ε_x;0.00;0.00;0.02;1.6;1.6;0.3;CO13
13;128;0.150;ε_x;-0.03;0.00;0.00;-1.6;0.6;-0.2;CO6
13;128;0.150;γ_xy;0.00;0.00;0.02;1.6;1.6;0.2;CO16
13;128;0.150;γ_xy;-0.03;0.00;0.00;-1.6;0.6;-0.2;CO19
13;14;0.000;γ_xz;0.00;0.00;0.02;1.6;1.6;0.3;CO5
13;128;0.150;γ_xz;-0.03;0.00;0.00;-1.6;0.6;-0.2;CO13
13;128;0.150;κ_x;0.00;0.00;0.02;1.6;1.6;0.2;CO11
13;128;0.150;κ_x;-0.03;0.00;0.00;-1.6;0.6;-0.2;CO14
13;128;0.150;κ_y;0.00;0.00;0.02;1.6;1.6;0.2;CO8
13;14;0.000;κ_y;-0.03;0.00;0.00;-1.6;0.6;-0.3;CO11
13;14;0.000;κ_z;0.00;0.00;0.02;1.6;1.6;0.3;CO11
13;14;0.000;κ_z;-0.03;0.00;0.00;-1.6;0.6;-0.3;CO14
Total;;;;0.00;0.00;0.02;1.6;1.6;0.3;
13;;;;-0.03;0.00;0.00;-1.6;0.6;-0.3;
;;;;;;;;;;
14;15;0.000;max;-0.01;0.00;-0.04;0.8;0.7;0.3;
14;15;0.000;min;-0.03;0.00;-0.09;-0.7;0.2;-0.3;
14;;0.037;max;-0.01;0.00;-0.04;0.8;0.7;0.3;
14;;0.037;min;-0.03;0.00;-0.10;-0.7;0.2;-0.3;
14;;0.037;max;-0.01;0.00;-0.04;0.8;0.7;0.3;
