Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;94;57;0.000;;-62.82;-0.30;49.23;-0.08;-17.50;0.23;Beam | 1 - IPE 500 | L : 1.650 m
1;94;58;1.650;;-62.65;-0.37;47.19;-0.09;62.07;0.83;Beam | 1 - IPE 500 | L : 1.650 m
1;96;58;0.000;;-61.47;0.08;34.53;0.03;61.61;0.82;Beam | 1 - IPE 500 | L : 0.075 m
1;96;27;0.075;;-61.46;0.08;34.43;0.03;64.19;0.81;Beam | 1 - IPE 500 | L : 0.075 m
1;98;59;0.000;;-60.08;0.10;19.30;0.05;115.67;0.83;Beam | 1 - IPE 500 | L : 1.650 m
1;98;60;1.650;;-59.92;0.13;17.16;0.03;145.77;0.47;Beam | 1 - IPE 500 | L : 1.650 m
1;100;60;0.000;;-58.69;0.23;4.50;0.04;145.30;0.47;Beam | 1 - IPE 500 | L : 1.650 m
1;100;63;1.650;;-58.50;0.24;2.35;0.01;150.95;-0.15;Beam | 1 - IPE 500 | L : 1.650 m
1;109;74;0.000;;-59.92;-0.14;-17.12;-0.03;144.84;0.46;Beam | 1 - IPE 500 | L : 1.650 m
1;109;73;1.650;;-60.07;-0.10;-19.25;-0.05;114.82;0.82;Beam | 1 - IPE 500 | L : 1.650 m
1;110;73;0.000;;-61.28;0.03;-31.92;-0.03;114.65;0.82;Beam | 1 - IPE 500 | L : 1.575 m
1;110;29;1.575;;-61.41;0.08;-33.92;-0.03;62.79;0.80;Beam | 1 - IPE 500 | L : 1.575 m
1;111;72;0.000;;-62.65;0.36;-47.14;0.09;60.04;0.79;Beam | 1 - IPE 500 | L : 1.650 m
1;111;71;1.650;;-62.82;0.29;-49.18;0.08;-19.45;0.22;Beam | 1 - IPE 500 | L : 1.650 m
1;112;71;0.000;;-64.00;0.43;-61.84;0.10;-19.61;0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;112;69;1.650;;-64.27;0.29;-63.78;0.06;-123.29;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;113;69;0.000;;-65.46;0.40;-76.45;0.09;-123.46;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;113;30;1.650;;-65.89;0.17;-78.26;0.03;-251.13;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;114;67;0.000;;-58.95;-0.11;-17.24;-0.03;145.36;0.46;Beam | 1 - IPE 500 | L : 1.650 m
1;114;68;1.650;;-59.10;-0.08;-19.37;-0.05;115.15;0.79;Beam | 1 - IPE 500 | L : 1.650 m
1;115;68;0.000;;-60.31;0.04;-32.04;-0.03;114.98;0.79;Beam | 1 - IPE 500 | L : 1.575 m
1;115;36;1.575;;-60.44;0.09;-34.04;-0.04;62.93;0.77;Beam | 1 - IPE 500 | L : 1.575 m
1;116;66;0.000;;-61.68;0.35;-47.29;0.09;60.17;0.76;Beam | 1 - IPE 500 | L : 1.650 m
1;116;65;1.650;;-61.86;0.28;-49.32;0.08;-19.55;0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;117;65;0.000;;-63.04;0.42;-61.99;0.10;-19.72;0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;117;64;1.650;;-63.30;0.28;-63.93;0.06;-123.64;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;118;64;0.000;;-64.50;0.38;-76.60;0.08;-123.81;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;118;37;1.650;;-64.93;0.16;-78.41;0.02;-251.73;-0.11;Beam | 1 - IPE 500 | L : 1.650 m
1;120;63;0.000;;-57.73;0.32;-5.32;0.03;150.67;-0.15;Beam | 1 - IPE 500 | L : 0.150 m
1;120;28;0.150;;-57.71;0.32;-5.51;0.02;149.86;-0.22;Beam | 1 - IPE 500 | L : 0.150 m
1;122;76;0.000;;-58.49;-0.24;-2.30;-0.01;150.58;-0.15;Beam | 1 - IPE 500 | L : 1.650 m
1;122;74;1.650;;-58.68;-0.24;-4.45;-0.04;145.01;0.46;Beam | 1 - IPE 500 | L : 1.650 m
1;123;62;0.000;;-57.53;-0.20;-2.42;-0.01;151.30;-0.08;Beam | 1 - IPE 500 | L : 1.650 m
1;123;67;1.650;;-57.72;-0.19;-4.57;-0.04;145.53;0.46;Beam | 1 - IPE 500 | L : 1.650 m
1;136;83;0.000;;-75.69;-0.30;63.29;-0.07;-118.22;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
1;136;84;1.650;;-75.43;-0.45;61.36;-0.11;-15.34;0.26;Beam | 1 - IPE 500 | L : 1.650 m
1;137;84;0.000;;-74.25;-0.30;48.69;-0.08;-15.81;0.26;Beam | 1 - IPE 500 | L : 1.650 m
1;137;85;1.650;;-74.08;-0.38;46.65;-0.09;62.89;0.87;Beam | 1 - IPE 500 | L : 1.650 m
1;138;85;0.000;;-72.89;0.06;33.99;0.03;62.42;0.87;Beam | 1 - IPE 500 | L : 0.075 m
1;138;20;0.075;;-72.88;0.07;33.89;0.03;64.96;0.86;Beam | 1 - IPE 500 | L : 0.075 m
1;139;86;0.000;;-76.42;0.13;18.07;0.05;114.52;0.85;Beam | 1 - IPE 500 | L : 1.650 m
1;139;87;1.650;;-76.26;0.16;15.90;0.03;142.55;0.45;Beam | 1 - IPE 500 | L : 1.650 m
1;140;87;0.000;;-75.03;0.29;3.23;0.05;142.08;0.45;Beam | 1 - IPE 500 | L : 1.650 m
1;140;89;1.650;;-74.84;0.28;1.05;0.01;145.61;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
1;141;89;0.000;;-74.07;0.41;-6.62;0.04;145.33;-0.26;Beam | 1 - IPE 500 | L : 0.150 m
1;141;21;0.150;;-74.05;0.40;-6.82;0.04;144.32;-0.35;Beam | 1 - IPE 500 | L : 0.150 m
1;142;100;0.000;;-74.84;-0.29;-1.03;-0.01;145.23;-0.27;Beam | 1 - IPE 500 | L : 1.650 m
1;142;99;1.650;;-75.03;-0.29;-3.21;-0.04;141.73;0.44;Beam | 1 - IPE 500 | L : 1.650 m
1;143;99;0.000;;-76.26;-0.17;-15.88;-0.03;141.56;0.43;Beam | 1 - IPE 500 | L : 1.650 m
1;143;98;1.650;;-76.42;-0.14;-18.05;-0.05;113.56;0.84;Beam | 1 - IPE 500 | L : 1.650 m
