Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;189;140;0.000;V_y;3.88;-0.79;-2.18;0.05;1.53;-0.72;CO30
1;189;140;0.000;V_z;-2.84;1.09;-1.80;-0.05;1.23;0.70;CO31
1;189;140;0.000;V_z;2.03;-0.47;-5.00;0.03;3.22;-0.43;CO25
1;189;140;0.000;M_T;3.88;-0.79;-2.18;0.05;1.53;-0.72;CO30
1;189;140;0.000;M_T;-2.84;1.09;-1.80;-0.05;1.23;0.70;CO31
1;189;140;0.000;M_y;2.03;-0.47;-5.00;0.03;3.22;-0.43;CO25
1;189;140;0.000;M_y;-2.84;1.09;-1.80;-0.05;1.23;0.70;CO31
1;189;140;0.000;M_z;-2.84;1.09;-1.80;-0.05;1.23;0.70;CO31
1;189;140;0.000;M_z;3.88;-0.79;-2.18;0.05;1.53;-0.72;CO30
1;189;;0.825;N;3.90;-1.25;-2.38;0.05;-0.35;0.14;CO30
1;189;;0.825;N;-2.91;1.59;-3.47;-0.06;-0.64;-0.43;CO36
1;189;;0.825;V_y;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;0.825;V_y;3.80;-1.25;-3.85;0.05;-0.68;0.14;CO35
1;189;;0.825;V_z;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;0.825;V_z;2.05;-0.75;-5.20;0.03;-0.99;0.09;CO25
1;189;;0.825;M_T;3.80;-1.25;-3.85;0.05;-0.68;0.14;CO35
1;189;;0.825;M_T;-2.91;1.59;-3.47;-0.06;-0.64;-0.43;CO36
1;189;;0.825;M_y;0.91;0.91;-2.09;-0.03;-0.15;-0.21;CO29
1;189;;0.825;M_y;2.05;-0.75;-5.20;0.03;-0.99;0.09;CO25
1;189;;0.825;M_z;3.90;-1.25;-2.38;0.05;-0.35;0.14;CO30
1;189;;0.825;M_z;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;0.825;N;3.90;-1.25;-2.38;0.05;-0.35;0.14;CO30
1;189;;0.825;N;-2.91;1.59;-3.47;-0.06;-0.64;-0.43;CO36
1;189;;0.825;V_y;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;0.825;V_y;3.80;-1.25;-3.85;0.05;-0.68;0.14;CO35
1;189;;0.825;V_z;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;0.825;V_z;2.05;-0.75;-5.20;0.03;-0.99;0.09;CO25
1;189;;0.825;M_T;3.80;-1.25;-3.85;0.05;-0.68;0.14;CO35
1;189;;0.825;M_T;-2.91;1.59;-3.47;-0.06;-0.64;-0.43;CO36
1;189;;0.825;M_y;0.91;0.91;-2.09;-0.03;-0.15;-0.21;CO29
1;189;;0.825;M_y;2.05;-0.75;-5.20;0.03;-0.99;0.09;CO25
1;189;;0.825;M_z;3.90;-1.25;-2.38;0.05;-0.35;0.14;CO30
1;189;;0.825;M_z;-2.82;1.61;-2.00;-0.06;-0.34;-0.43;CO31
1;189;;1.067;N;3.91;-1.34;-2.43;0.05;-0.94;0.46;CO30
1;189;;1.067;N;-2.91;1.69;-3.53;-0.06;-1.48;-0.83;CO36
1;189;;1.067;V_y;-2.81;1.70;-2.06;-0.06;-0.83;-0.83;CO31
1;189;;1.067;V_y;3.80;-1.34;-3.90;0.05;-1.62;0.46;CO35
1;189;;1.067;V_z;-2.81;1.70;-2.06;-0.06;-0.83;-0.83;CO31
1;189;;1.067;V_z;2.06;-0.81;-5.26;0.03;-2.25;0.28;CO25
1;189;;1.067;M_T;3.80;-1.34;-3.90;0.05;-1.62;0.46;CO35
1;189;;1.067;M_T;-2.91;1.69;-3.53;-0.06;-1.48;-0.83;CO36
1;189;;1.067;M_y;0.92;0.96;-2.15;-0.03;-0.66;-0.43;CO29
1;189;;1.067;M_y;2.06;-0.81;-5.26;0.03;-2.25;0.28;CO25
1;189;;1.067;M_z;3.80;-1.34;-3.90;0.05;-1.62;0.46;CO35
1;189;;1.067;M_z;-2.81;1.70;-2.06;-0.06;-0.83;-0.83;CO31
1;189;;1.194;N;3.91;-1.37;-2.46;0.05;-1.25;0.63;CO30
1;189;;1.194;N;-2.91;1.73;-3.56;-0.06;-1.93;-1.05;CO36
1;189;;1.194;V_y;-2.81;1.74;-2.09;-0.06;-1.09;-1.05;CO31
1;189;;1.194;V_y;3.80;-1.38;-3.93;0.05;-2.12;0.63;CO35
1;189;;1.194;V_z;-2.81;1.74;-2.09;-0.06;-1.09;-1.05;CO31
1;189;;1.194;V_z;2.06;-0.83;-5.29;0.03;-2.92;0.38;CO25
1;189;;1.194;M_T;3.80;-1.38;-3.93;0.05;-2.12;0.63;CO35
1;189;;1.194;M_T;-2.91;1.73;-3.56;-0.06;-1.93;-1.05;CO36
1;189;;1.194;M_y;0.92;0.99;-2.18;-0.03;-0.94;-0.56;CO29
1;189;;1.194;M_y;2.06;-0.83;-5.29;0.03;-2.92;0.38;CO25
1;189;;1.194;M_z;3.80;-1.38;-3.93;0.05;-2.12;0.63;CO35
1;189;;1.194;M_z;-2.81;1.74;-2.09;-0.06;-1.09;-1.05;CO31
1;189;141;1.650;N;3.92;-1.44;-2.57;0.05;-2.39;1.28;CO30
1;189;141;1.650;N;-2.90;1.80;-3.66;-0.06;-3.57;-1.87;CO36
1;189;141;1.650;V_y;-2.80;1.81;-2.20;-0.06;-2.06;-1.87;CO31
1;189;141;1.650;V_y;3.81;-1.45;-4.04;0.05;-3.93;1.29;CO35
1;189;141;1.650;V_z;-2.80;1.81;-2.20;-0.06;-2.06;-1.87;CO31
1;189;141;1.650;V_z;2.07;-0.88;-5.40;0.03;-5.36;0.78;CO25
1;189;141;1.650;M_T;3.81;-1.45;-4.04;0.05;-3.93;1.29;CO35
1;189;141;1.650;M_T;-2.90;1.80;-3.66;-0.06;-3.57;-1.87;CO36
1;189;141;1.650;M_y;0.93;1.03;-2.29;-0.03;-1.95;-1.02;CO29
1;189;141;1.650;M_y;2.07;-0.88;-5.40;0.03;-5.36;0.78;CO25
1;189;141;1.650;M_z;3.81;-1.45;-4.04;0.05;-3.93;1.29;CO35
1;189;141;1.650;M_z;-2.80;1.81;-2.20;-0.06;-2.06;-1.87;CO31
1;190;141;0.000;N;4.11;-0.37;-7.04;0.26;-3.99;1.29;CO35
1;190;141;0.000;N;-2.64;0.33;-3.82;-0.33;-2.09;-1.87;CO31
