Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
161;128;Min.;-0.10;-0.27;-2.80;0.00;0.00;0.00;
174;139;Max.;0.41;0.44;4.40;0.00;0.00;0.00;
174;139;Min.;-0.30;0.16;1.60;0.00;0.00;0.00;
174;111;Max.;0.41;-0.16;-1.60;0.00;0.00;0.00;
174;111;Min.;-0.30;-0.44;-4.40;0.00;0.00;0.00;
175;2;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
175;2;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
175;12;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
175;12;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
176;140;Max.;0.25;0.44;4.40;0.00;0.00;0.00;
176;140;Min.;-0.20;0.16;1.60;0.00;0.00;0.00;
176;112;Max.;0.25;-0.16;-1.60;0.00;0.00;0.00;
176;112;Min.;-0.20;-0.44;-4.40;0.00;0.00;0.00;
177;141;Max.;1.48;0.44;4.39;0.00;0.00;0.00;
177;141;Min.;-1.11;0.16;1.60;0.00;0.00;0.00;
177;113;Max.;1.48;-0.16;-1.60;0.00;0.00;0.00;
177;113;Min.;-1.11;-0.44;-4.39;0.00;0.00;0.00;
178;142;Max.;0.17;0.44;4.40;0.00;0.00;0.00;
178;142;Min.;-0.16;0.16;1.60;0.00;0.00;0.00;
178;114;Max.;0.17;-0.16;-1.60;0.00;0.00;0.00;
178;114;Min.;-0.16;-0.44;-4.40;0.00;0.00;0.00;
179;143;Max.;0.21;0.44;4.40;0.00;0.00;0.00;
179;143;Min.;-0.12;0.16;1.60;0.00;0.00;0.00;
179;115;Max.;0.21;-0.16;-1.60;0.00;0.00;0.00;
179;115;Min.;-0.12;-0.44;-4.40;0.00;0.00;0.00;
180;123;Max.;0.44;0.44;4.40;0.00;0.00;0.00;
180;123;Min.;-0.31;0.16;1.60;0.00;0.00;0.00;
180;151;Max.;0.44;-0.16;-1.60;0.00;0.00;0.00;
180;151;Min.;-0.31;-0.44;-4.40;0.00;0.00;0.00;
181;16;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
181;16;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
181;6;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
181;6;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
182;124;Max.;0.24;0.44;4.40;0.00;0.00;0.00;
182;124;Min.;-0.19;0.16;1.60;0.00;0.00;0.00;
182;152;Max.;0.24;-0.16;-1.60;0.00;0.00;0.00;
182;152;Min.;-0.19;-0.44;-4.40;0.00;0.00;0.00;
183;125;Max.;1.45;0.44;4.39;0.00;0.00;0.00;
183;125;Min.;-1.09;0.16;1.60;0.00;0.00;0.00;
183;153;Max.;1.45;-0.16;-1.60;0.00;0.00;0.00;
183;153;Min.;-1.09;-0.44;-4.39;0.00;0.00;0.00;
184;126;Max.;0.18;0.44;4.40;0.00;0.00;0.00;
184;126;Min.;-0.16;0.16;1.60;0.00;0.00;0.00;
184;154;Max.;0.18;-0.16;-1.60;0.00;0.00;0.00;
184;154;Min.;-0.16;-0.44;-4.40;0.00;0.00;0.00;
185;127;Max.;0.20;0.44;4.40;0.00;0.00;0.00;
185;127;Min.;-0.11;0.16;1.60;0.00;0.00;0.00;
185;155;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
185;155;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
186;145;Max.;0.21;0.27;2.80;0.00;0.00;0.00;
186;145;Min.;-0.20;0.10;1.02;0.00;0.00;0.00;
186;117;Max.;0.21;-0.10;-1.02;0.00;0.00;0.00;
186;117;Min.;-0.20;-0.27;-2.79;0.00;0.00;0.00;
187;128;Max.;0.20;0.27;2.79;0.00;0.00;0.00;
187;128;Min.;-0.19;0.10;1.02;0.00;0.00;0.00;
187;156;Max.;0.20;-0.10;-1.02;0.00;0.00;0.00;
187;156;Min.;-0.19;-0.27;-2.80;0.00;0.00;0.00;
200;49;Max.;0.42;0.44;4.40;0.00;0.00;0.00;
200;49;Min.;-0.30;0.16;1.60;0.00;0.00;0.00;
200;116;Max.;0.42;-0.16;-1.60;0.00;0.00;0.00;
200;116;Min.;-0.30;-0.44;-4.40;0.00;0.00;0.00;
201;33;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
201;33;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
201;40;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
201;40;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
202;50;Max.;0.25;0.44;4.40;0.00;0.00;0.00;
202;50;Min.;-0.20;0.16;1.60;0.00;0.00;0.00;
202;118;Max.;0.25;-0.16;-1.60;0.00;0.00;0.00;
202;118;Min.;-0.20;-0.44;-4.40;0.00;0.00;0.00;
203;51;Max.;1.48;0.44;4.39;0.00;0.00;0.00;
203;51;Min.;-1.11;0.16;1.60;0.00;0.00;0.00;
203;119;Max.;1.48;-0.16;-1.60;0.00;0.00;0.00;
203;119;Min.;-1.11;-0.44;-4.39;0.00;0.00;0.00;
204;54;Max.;0.17;0.44;4.40;0.00;0.00;0.00;
204;54;Min.;-0.16;0.16;1.60;0.00;0.00;0.00;
204;120;Max.;0.17;-0.16;-1.60;0.00;0.00;0.00;
204;120;Min.;-0.16;-0.44;-4.40;0.00;0.00;0.00;
205;53;Max.;0.21;0.44;4.40;0.00;0.00;0.00;
205;53;Min.;-0.13;0.16;1.60;0.00;0.00;0.00;
205;121;Max.;0.21;-0.16;-1.60;0.00;0.00;0.00;
205;121;Min.;-0.13;-0.44;-4.40;0.00;0.00;0.00;
206;129;Max.;0.44;0.44;4.40;0.00;0.00;0.00;
206;129;Min.;-0.31;0.16;1.60;0.00;0.00;0.00;
206;64;Max.;0.44;-0.16;-1.60;0.00;0.00;0.00;
206;64;Min.;-0.31;-0.44;-4.40;0.00;0.00;0.00;
207;44;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
207;44;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
207;37;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
207;37;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
208;130;Max.;0.24;0.44;4.40;0.00;0.00;0.00;
208;130;Min.;-0.19;0.16;1.60;0.00;0.00;0.00;
208;65;Max.;0.24;-0.16;-1.60;0.00;0.00;0.00;
208;65;Min.;-0.19;-0.44;-4.40;0.00;0.00;0.00;
209;131;Max.;1.45;0.44;4.39;0.00;0.00;0.00;
209;131;Min.;-1.09;0.16;1.60;0.00;0.00;0.00;
209;66;Max.;1.45;-0.16;-1.60;0.00;0.00;0.00;
209;66;Min.;-1.09;-0.44;-4.39;0.00;0.00;0.00;
210;132;Max.;0.18;0.44;4.40;0.00;0.00;0.00;
210;132;Min.;-0.16;0.16;1.60;0.00;0.00;0.00;
210;68;Max.;0.18;-0.16;-1.60;0.00;0.00;0.00;
210;68;Min.;-0.16;-0.44;-4.40;0.00;0.00;0.00;
211;133;Max.;0.20;0.44;4.40;0.00;0.00;0.00;
211;133;Min.;-0.12;0.16;1.60;0.00;0.00;0.00;
211;67;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
211;67;Min.;-0.12;-0.44;-4.40;0.00;0.00;0.00;
212;52;Max.;0.21;0.27;2.79;0.00;0.00;0.00;
212;52;Min.;-0.20;0.10;1.02;0.00;0.00;0.00;
212;122;Max.;0.21;-0.10;-1.02;0.00;0.00;0.00;
212;122;Min.;-0.20;-0.27;-2.80;0.00;0.00;0.00;
213;134;Max.;0.21;0.27;2.80;0.00;0.00;0.00;
213;134;Min.;-0.19;0.10;1.02;0.00;0.00;0.00;
213;62;Max.;0.21;-0.10;-1.02;0.00;0.00;0.00;
213;62;Min.;-0.19;-0.27;-2.79;0.00;0.00;0.00;
Total;;;1.48;0.44;4.40;0.00;0.00;0.00;
max/min;;;-17.61;-0.44;-4.40;0.00;0.00;0.00;
