Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
187;156;Max.;0.31;-0.14;-1.37;0.00;0.00;0.00;
187;156;Min.;-0.28;-0.38;-4.04;0.00;0.00;0.00;
200;49;Max.;0.64;0.63;6.36;0.00;0.00;0.00;
200;49;Min.;-0.44;0.22;2.16;0.00;0.00;0.00;
200;116;Max.;0.64;-0.22;-2.16;0.00;0.00;0.00;
200;116;Min.;-0.44;-0.63;-6.36;0.00;0.00;0.00;
201;33;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
201;33;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
201;40;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
201;40;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
202;50;Max.;0.37;0.63;6.36;0.00;0.00;0.00;
202;50;Min.;-0.29;0.22;2.16;0.00;0.00;0.00;
202;118;Max.;0.37;-0.22;-2.16;0.00;0.00;0.00;
202;118;Min.;-0.29;-0.63;-6.36;0.00;0.00;0.00;
203;51;Max.;2.21;0.63;6.34;0.00;0.00;0.00;
203;51;Min.;-1.66;0.22;2.16;0.00;0.00;0.00;
203;119;Max.;2.21;-0.22;-2.16;0.00;0.00;0.00;
203;119;Min.;-1.66;-0.63;-6.35;0.00;0.00;0.00;
204;54;Max.;0.26;0.63;6.36;0.00;0.00;0.00;
204;54;Min.;-0.24;0.22;2.16;0.00;0.00;0.00;
204;120;Max.;0.26;-0.22;-2.16;0.00;0.00;0.00;
204;120;Min.;-0.24;-0.63;-6.36;0.00;0.00;0.00;
205;53;Max.;0.31;0.63;6.36;0.00;0.00;0.00;
205;53;Min.;-0.19;0.22;2.16;0.00;0.00;0.00;
205;121;Max.;0.31;-0.22;-2.16;0.00;0.00;0.00;
205;121;Min.;-0.19;-0.63;-6.36;0.00;0.00;0.00;
206;129;Max.;0.66;0.63;6.36;0.00;0.00;0.00;
206;129;Min.;-0.47;0.22;2.16;0.00;0.00;0.00;
206;64;Max.;0.66;-0.22;-2.16;0.00;0.00;0.00;
206;64;Min.;-0.47;-0.63;-6.36;0.00;0.00;0.00;
207;44;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
207;44;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
207;37;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
207;37;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
208;130;Max.;0.36;0.63;6.36;0.00;0.00;0.00;
208;130;Min.;-0.28;0.22;2.16;0.00;0.00;0.00;
208;65;Max.;0.36;-0.22;-2.16;0.00;0.00;0.00;
208;65;Min.;-0.28;-0.63;-6.36;0.00;0.00;0.00;
209;131;Max.;2.17;0.63;6.35;0.00;0.00;0.00;
209;131;Min.;-1.64;0.22;2.16;0.00;0.00;0.00;
209;66;Max.;2.17;-0.22;-2.16;0.00;0.00;0.00;
209;66;Min.;-1.64;-0.63;-6.34;0.00;0.00;0.00;
210;132;Max.;0.26;0.63;6.36;0.00;0.00;0.00;
210;132;Min.;-0.24;0.22;2.16;0.00;0.00;0.00;
210;68;Max.;0.26;-0.22;-2.16;0.00;0.00;0.00;
210;68;Min.;-0.24;-0.63;-6.36;0.00;0.00;0.00;
211;133;Max.;0.30;0.63;6.36;0.00;0.00;0.00;
211;133;Min.;-0.18;0.22;2.16;0.00;0.00;0.00;
211;67;Max.;0.30;-0.22;-2.16;0.00;0.00;0.00;
211;67;Min.;-0.18;-0.63;-6.36;0.00;0.00;0.00;
212;52;Max.;0.32;0.38;4.04;0.00;0.00;0.00;
212;52;Min.;-0.30;0.14;1.37;0.00;0.00;0.00;
212;122;Max.;0.32;-0.14;-1.37;0.00;0.00;0.00;
212;122;Min.;-0.30;-0.38;-4.04;0.00;0.00;0.00;
213;134;Max.;0.31;0.38;4.04;0.00;0.00;0.00;
213;134;Min.;-0.29;0.14;1.37;0.00;0.00;0.00;
213;62;Max.;0.31;-0.14;-1.37;0.00;0.00;0.00;
213;62;Min.;-0.29;-0.38;-4.04;0.00;0.00;0.00;
Total;;;2.21;0.63;6.36;0.00;0.00;0.00;
max/min;;;-25.41;-0.63;-6.36;0.00;0.00;0.00;
