Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
Extremes;13;14;0.000;N;-50.21;-0.43;4.17;-0.03;159.17;-0.32;Beam | 1 - IPE 500 | L : 0.150 m
2;11;12;0.000;N;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;V_y;-69.01;0.52;-78.48;0.11;-127.92;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;V_y;-69.04;-0.53;78.87;-0.11;-127.61;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;V_z;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;V_z;-69.45;0.24;-80.28;0.05;-258.94;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;M_T;-69.01;0.52;-78.48;0.11;-127.92;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;M_T;-69.04;-0.53;78.87;-0.11;-127.61;-0.26;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;M_y;-51.04;0.29;4.07;0.00;160.00;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;M_y;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;12;;1.378;M_z;-53.82;-0.05;33.92;0.03;112.88;0.94;Beam | 1 - IPE 500 | L : 1.575 m
2;11;;1.031;M_z;-69.19;-0.42;79.56;-0.09;-176.63;-0.35;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;;-50.21;0.52;80.66;0.11;160.00;0.94;
2;;;;;-69.49;-0.53;-80.28;-0.11;-259.27;-0.35;
;;;;;;;;;;;
3;Obergurt;;;;;;;;;;
3;17;19;0.000;;-77.07;-0.21;77.96;-0.04;-246.61;-0.18;Beam | 1 - IPE 500 | L : 1.650 m
3;17;83;1.650;;-76.65;-0.45;76.17;-0.10;-119.40;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
3;136;83;0.000;;-75.45;-0.32;63.51;-0.07;-119.87;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
3;136;84;1.650;;-75.19;-0.47;61.58;-0.11;-16.63;0.25;Beam | 1 - IPE 500 | L : 1.650 m
3;137;84;0.000;;-74.00;-0.32;48.91;-0.08;-17.10;0.25;Beam | 1 - IPE 500 | L : 1.650 m
3;137;85;1.650;;-73.83;-0.39;46.87;-0.09;61.95;0.88;Beam | 1 - IPE 500 | L : 1.650 m
3;138;85;0.000;;-72.64;0.06;34.21;0.03;61.49;0.87;Beam | 1 - IPE 500 | L : 0.075 m
3;138;20;0.075;;-72.64;0.06;34.11;0.03;64.05;0.87;Beam | 1 - IPE 500 | L : 0.075 m
3;18;20;0.000;;-77.42;-0.06;32.98;0.03;64.05;0.87;Beam | 1 - IPE 500 | L : 1.575 m
