Member No.;Line;;;Rotation;Section;;;Hinge;;Eccentricity;;Length;Volume;Mass;;;
;No.;Member Type;Section Distribution;β [deg] / Node No.;Start i;End j;Internal k;Start i;End j;Start i;End j;L [m];V [m^3 ];M [t];Position;Options;Comment
110;110;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915397;0.018190536185923;0.142795709059494;|| XZ;;
111;111;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
112;112;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929539;0.019057508303636;0.149601440183544;|| XZ;;
113;113;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
114;114;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000223034898;0.019057502576053;0.149601395222017;|| XZ;;
115;115;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574937651853274;0.018190529878905;0.142795659549407;|| XZ;;
116;116;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.64999996664438;0.019057499614743;0.149601371975729;|| XZ;;
117;117;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999989450463;0.019057499878153;0.1496013740435;|| XZ;;
118;118;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000059387849;0.01905750068593;0.149601380384548;|| XZ;;
119;119;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000672;0.004275000000001;0.033558750000005;|| Y;;
120;120;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
121;121;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000672;0.004275000000001;0.033558750000005;|| Y;;
122;122;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
123;123;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999930273379;0.019057499194658;0.149601368678062;|| XZ;;
124;124;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
125;125;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
126;126;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
127;127;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
128;128;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
129;129;Beam;Uniform;5.71;4;4;4;2;3;3;4;5;0.004275;0.03355875;|| Y;;
130;130;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
131;131;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
132;132;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
133;133;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
134;134;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
135;135;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
136;136;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929541;0.019057508303636;0.149601440183544;|| XZ;;
137;137;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
138;138;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856597;0.000865532084994;0.0067944268672;|| XZ;;
139;139;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892401;0.019057496810957;0.149601349966014;|| XZ;;
140;140;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
141;141;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
142;142;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
143;143;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
