Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
6;;2.000;u_z;3.6;0.0;2.9;2.1;1.6;-0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_z;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_x;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_y;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_z;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;3.6;0.0;2.9;2.1;3.2;1.7;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;0.0;0.0;0.0;0.0;0.0;-1.6;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
7;8;0.000;;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;3.9;0.0;0.4;-3.9;0.0;1.3;0.1;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;4.4;0.0;0.4;-4.3;0.0;0.6;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;3.1;-0.1;0.1;-3.1;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;3.1;-0.1;0.1;-3.1;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;8;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;u_x;3.1;-0.1;0.1;-3.1;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.250;u_y;4.4;0.0;0.4;-4.3;0.0;0.6;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_y;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_z;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.500;u_z;4.5;0.0;0.4;-4.4;0.0;0.3;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_y;3.1;-0.1;0.1;-3.1;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_z;3.1;-0.1;0.1;-3.1;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;4.5;0.0;0.4;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;0.0;-0.1;0.0;-4.4;0.0;-1.2;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
8;9;0.000;;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;6.0;0.0;0.5;-6.0;0.0;1.1;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;9;0.000;u_x;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_x;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;u_y;6.3;0.0;0.5;-6.2;0.0;0.7;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_y;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;u_z;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;;3.000;u_z;6.4;0.0;0.5;-6.4;0.0;-0.1;-0.1;Beam | 2 - HEA 160 | L : 5.000 m
