Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
7;;;;0.0;-0.1;-0.2;-4.4;0.0;-2.3;-0.4;
;;;;;;;;;;;
8;9;0.000;max;0.0;0.0;0.0;0.0;0.0;3.6;0.4;
8;9;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.6;0.0;
8;9;0.000;max;0.0;0.0;0.0;0.0;0.0;3.6;0.4;
8;9;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.6;0.0;
8;;2.238;max;4.1;0.0;0.7;4.0;0.0;1.1;0.1;
8;;2.238;min;6.0;-0.1;0.0;-6.0;0.0;-0.9;0.0;
8;4;5.000;max;3.8;0.0;0.3;3.8;0.0;2.3;0.1;
8;4;5.000;min;3.9;-0.1;-0.3;-3.9;0.0;-1.8;-0.4;
8;4;5.000;max;3.8;0.0;0.3;3.8;0.0;2.3;0.1;
8;4;5.000;min;3.9;-0.1;-0.3;-3.9;0.0;-1.8;-0.4;
Extremes;9;0.000;u_x;0.0;0.0;0.0;0.0;0.0;3.6;0.4;CO20
8;4;5.000;u_x;3.9;-0.1;-0.3;-3.9;0.0;-1.8;-0.4;CO26
8;;2.500;u_y;4.1;0.0;0.7;4.0;0.0;0.7;0.1;CO25
8;4;5.000;u_y;3.9;-0.1;-0.3;-3.9;0.0;-1.8;-0.4;CO34
8;;3.500;u_z;4.2;0.0;0.5;4.1;0.0;1.4;0.1;CO37
8;;3.000;u_z;6.4;-0.1;0.0;-6.4;0.0;-0.4;-0.2;CO35
8;9;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;3.6;0.4;CO20
8;9;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;-2.6;0.0;CO20
8;9;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;3.6;0.4;CO35
8;9;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;-2.6;0.0;CO34
8;9;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;3.6;0.4;CO25
8;4;5.000;φ_z;3.9;-0.1;-0.3;-3.9;0.0;-1.8;-0.4;CO25
Total;;;;6.4;0.0;0.7;4.1;0.0;3.6;0.4;
8;;;;0.0;-0.1;-0.3;-6.4;0.0;-2.6;-0.4;
;;;;;;;;;;;
9;10;0.000;max;0.0;0.0;0.0;0.0;0.0;2.7;0.3;
9;10;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;
