FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
480;10;8.5;-5;
481;10;9;-5;
482;10;9.5;-5;
483;10;10.5;-5;
484;10;11;-5;
485;10;11.5;-5;
486;10;12;-5;
487;10;12.5;-5;
488;10;13;-5;
489;10;13.5;-5;
490;10;14;-5;
491;10;14.5;-5;
492;10;15.5;-5;
493;10;16;-5;
494;10;16.5;-5;
495;10;17;-5;
496;10;17.5;-5;
497;10;18;-5;
498;10;18.5;-5;
499;10;19;-5;
500;10;19.5;-5;
501;10;20.5;-5;
502;10;21;-5;
503;10;21.5;-5;
504;10;22;-5;
505;10;22.5;-5;
506;10;23;-5;
507;10;23.5;-5;
508;10;24;-5;
509;10;24.5;-5;
510;15;0.5;-4.5;
511;15;1;-4.5;
512;15;1.5;-4.5;
513;15;2;-4.5;
514;15;2.5;-4.5;
515;15;3;-4.5;
516;15;3.5;-4.5;
517;15;4;-4.5;
518;15;4.5;-4.5;
519;15;5.5;-4.5;
520;15;6;-4.5;
521;15;6.5;-4.5;
522;15;7;-4.5;
523;15;7.5;-4.5;
524;15;8;-4.5;
525;15;8.5;-4.5;
526;15;9;-4.5;
527;15;9.5;-4.5;
528;15;10.5;-4.5;
529;15;11;-4.5;
530;15;11.5;-4.5;
531;15;12;-4.5;
532;15;12.5;-4.5;
533;15;13;-4.5;
534;15;13.5;-4.5;
535;15;14;-4.5;
536;15;14.5;-4.5;
537;15;15.5;-4.5;
538;15;16;-4.5;
539;15;16.5;-4.5;
540;15;17;-4.5;
541;15;17.5;-4.5;
542;15;18;-4.5;
543;15;18.5;-4.5;
544;15;19;-4.5;
545;15;19.5;-4.5;
546;15;20.5;-4.5;
547;15;21;-4.5;
548;15;21.5;-4.5;
549;15;22;-4.5;
550;15;22.5;-4.5;
551;15;23;-4.5;
552;15;23.5;-4.5;
553;15;24;-4.5;
554;15;24.5;-4.5;
555;20;0.5;-4;
556;20;1;-4;
557;20;1.5;-4;
558;20;2;-4;
559;20;2.5;-4;
560;20;3;-4;
561;20;3.5;-4;
562;20;4;-4;
563;20;4.5;-4;
564;20;5.5;-4;
565;20;6;-4;
566;20;6.5;-4;
