Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
7;;1.738;;-0.02;0.00;0.01;0.0;1.4;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-0.02;0.00;-0.01;0.0;1.4;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;ε_x;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;ε_x;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xy;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xy;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xz;-0.02;0.00;-0.05;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.000;κ_x;-0.02;0.00;0.04;0.0;1.1;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;;3.000;κ_x;-0.02;0.00;-0.03;-0.1;1.1;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_y;-0.02;0.00;0.00;0.0;1.4;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_y;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
