Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
187;156;Max.;0.0;0.0;0.0;0.0;0.0;-0.1;-5.4;
187;156;Min.;0.0;0.0;0.0;0.0;0.0;-19.9;-18.0;
200;49;Max.;0.0;0.0;0.0;0.0;0.0;3.0;-8.5;
200;49;Min.;0.0;0.0;0.0;0.0;0.0;-12.5;-27.6;
200;116;Max.;0.0;0.0;0.0;0.0;0.0;25.0;-2.0;
200;116;Min.;0.0;0.0;0.0;0.0;0.0;-22.1;-30.0;
201;33;Max.;0.0;0.0;0.0;0.0;0.0;-1.1;-4.5;
201;33;Min.;0.0;0.0;0.0;0.0;0.0;-5.5;-14.9;
201;40;Max.;1.0;1.0;0.0;0.0;0.0;1.7;-0.1;
201;40;Min.;1.5;-1.5;0.0;0.0;0.0;-5.7;-16.0;
202;50;Max.;0.0;0.0;0.0;0.0;0.0;8.1;-7.2;
202;50;Min.;0.0;0.0;0.0;0.0;0.0;-14.2;-27.4;
202;118;Max.;0.0;0.0;0.0;0.0;0.0;20.7;-6.5;
202;118;Min.;0.0;0.0;0.0;0.0;0.0;-18.0;-27.7;
203;51;Max.;0.0;0.0;0.0;0.0;0.0;12.5;-5.9;
203;51;Min.;0.0;0.0;0.0;0.0;0.0;-15.1;-28.5;
203;119;Max.;0.0;0.0;0.0;0.0;0.0;4.3;-7.8;
203;119;Min.;0.0;0.0;0.0;0.0;0.0;-22.4;-28.4;
204;54;Max.;0.0;0.0;0.0;0.0;0.0;11.6;-6.3;
204;54;Min.;0.0;0.0;0.0;0.0;0.0;-12.2;-27.1;
204;120;Max.;0.0;0.0;0.0;0.0;0.0;5.2;-6.7;
204;120;Min.;0.0;0.0;0.0;0.0;0.0;-20.9;-28.1;
205;53;Max.;0.0;0.0;0.0;0.0;0.0;9.9;-6.8;
205;53;Min.;0.0;0.0;0.0;0.0;0.0;-9.1;-26.5;
205;121;Max.;0.0;0.0;0.0;0.0;0.0;7.7;-8.1;
205;121;Min.;0.0;0.0;0.0;0.0;0.0;-20.8;-28.5;
206;129;Max.;0.0;0.0;0.0;0.0;0.0;25.6;-1.9;
206;129;Min.;0.0;0.0;0.0;0.0;0.0;-22.8;-29.9;
206;64;Max.;0.0;0.0;0.0;0.0;0.0;3.0;-8.6;
206;64;Min.;0.0;0.0;0.0;0.0;0.0;-12.4;-27.6;
207;44;Max.;0.8;0.8;0.0;0.0;0.0;1.7;-0.1;
