Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;12;13;0.000;V_y;-8.27;0.12;13.31;0.04;22.17;0.57;CO33
1;12;13;0.000;V_y;-32.49;-0.14;10.33;-0.04;21.71;-0.56;CO30
1;12;13;0.000;V_z;-38.21;0.00;24.86;0.02;45.36;0.48;CO28
1;12;13;0.000;V_z;-25.64;0.00;10.14;0.01;29.07;0.00;CO31
1;12;13;0.000;M_T;-8.27;0.12;13.31;0.04;22.17;0.57;CO33
1;12;13;0.000;M_T;-32.49;-0.14;10.33;-0.04;21.71;-0.56;CO30
1;12;13;0.000;M_y;-48.82;0.00;22.96;0.01;49.55;0.01;CO26
1;12;13;0.000;M_y;-25.63;-0.01;13.08;0.01;14.07;-0.01;CO29
1;12;13;0.000;M_z;-20.31;0.06;19.37;0.04;34.43;0.69;CO37
1;12;13;0.000;M_z;-44.72;-0.09;16.47;-0.04;33.65;-0.67;CO35
1;12;;0.787;N;-8.11;0.13;12.54;0.04;32.68;0.46;CO32
1;12;;0.787;N;-52.67;-0.03;22.30;-0.02;63.40;-0.43;CO25
1;12;;0.787;V_y;-8.21;0.13;12.60;0.04;32.37;0.46;CO33
1;12;;0.787;V_y;-32.42;-0.15;9.62;-0.04;29.57;-0.43;CO30
1;12;;0.787;V_z;-38.15;0.02;24.13;0.02;64.65;0.46;CO28
1;12;;0.787;V_z;-25.57;0.00;9.42;0.01;36.77;0.00;CO31
1;12;;0.787;M_T;-8.21;0.13;12.60;0.04;32.37;0.46;CO33
1;12;;0.787;M_T;-32.42;-0.15;9.62;-0.04;29.57;-0.43;CO30
1;12;;0.787;M_y;-48.77;0.01;22.23;0.01;67.35;0.00;CO26
1;12;;0.787;M_y;-25.56;-0.01;12.37;0.01;24.09;-0.01;CO29
1;12;;0.787;M_z;-20.25;0.07;18.65;0.03;49.40;0.62;CO37
1;12;;0.787;M_z;-44.66;-0.10;15.74;-0.04;46.33;-0.57;CO35
1;12;;0.787;N;-8.11;0.13;12.54;0.04;32.68;0.46;CO32
1;12;;0.787;N;-52.67;-0.03;22.30;-0.02;63.40;-0.43;CO25
1;12;;0.787;V_y;-8.21;0.13;12.60;0.04;32.37;0.46;CO33
1;12;;0.787;V_y;-32.42;-0.15;9.62;-0.04;29.57;-0.43;CO30
1;12;;0.787;V_z;-38.15;0.02;24.13;0.02;64.65;0.46;CO28
1;12;;0.787;V_z;-25.57;0.00;9.42;0.01;36.77;0.00;CO31
1;12;;0.787;M_T;-8.21;0.13;12.60;0.04;32.37;0.46;CO33
1;12;;0.787;M_T;-32.42;-0.15;9.62;-0.04;29.57;-0.43;CO30
1;12;;0.787;M_y;-48.77;0.01;22.23;0.01;67.35;0.00;CO26
1;12;;0.787;M_y;-25.56;-0.01;12.37;0.01;24.09;-0.01;CO29
1;12;;0.787;M_z;-20.25;0.07;18.65;0.03;49.40;0.62;CO37
1;12;;0.787;M_z;-44.66;-0.10;15.74;-0.04;46.33;-0.57;CO35
1;12;114;1.575;N;-8.05;0.14;11.83;0.04;42.27;0.34;CO32
1;12;114;1.575;N;-52.61;-0.04;21.56;-0.02;80.67;-0.38;CO25
1;12;114;1.575;V_y;-8.14;0.14;11.89;0.04;42.01;0.34;CO33
1;12;114;1.575;V_y;-32.35;-0.16;8.90;-0.04;36.86;-0.29;CO30
1;12;114;1.575;V_z;-38.10;0.03;23.40;0.02;83.37;0.42;CO28
1;12;114;1.575;V_z;-25.51;0.01;8.70;0.01;43.91;-0.01;CO31
1;12;114;1.575;M_T;-8.14;0.14;11.89;0.04;42.01;0.34;CO33
1;12;114;1.575;M_T;-32.35;-0.16;8.90;-0.04;36.86;-0.29;CO30
1;12;114;1.575;M_y;-48.71;0.01;21.48;0.01;84.56;-0.01;CO26
1;12;114;1.575;M_y;-25.50;-0.01;11.65;0.01;33.55;0.00;CO29
1;12;114;1.575;M_z;-20.19;0.09;17.93;0.03;63.80;0.53;CO37
1;12;114;1.575;M_z;-44.60;-0.12;15.01;-0.04;58.44;-0.46;CO35
1;13;14;0.000;N;-6.87;-0.47;-0.30;-0.09;60.25;-0.89;CO32
1;13;14;0.000;N;-50.08;0.25;4.57;0.03;101.75;0.36;CO25
1;13;14;0.000;V_y;-42.76;0.42;3.82;0.07;72.15;0.73;CO35
1;13;14;0.000;V_y;-18.48;-0.47;0.98;-0.07;87.55;-0.75;CO38
1;13;14;0.000;V_z;-45.95;0.03;4.86;0.00;105.31;0.04;CO24
1;13;14;0.000;V_z;-6.87;-0.47;-0.30;-0.09;60.25;-0.89;CO32
1;13;14;0.000;M_T;-31.21;0.42;2.66;0.08;44.65;0.86;CO30
1;13;14;0.000;M_T;-6.99;-0.47;-0.22;-0.09;60.17;-0.89;CO33
1;13;14;0.000;M_y;-35.36;-0.28;2.80;-0.04;111.01;-0.38;CO27
1;13;14;0.000;M_y;-31.21;0.42;2.66;0.08;44.65;0.86;CO30
1;13;14;0.000;M_z;-31.21;0.42;2.66;0.08;44.65;0.86;CO30
1;13;14;0.000;M_z;-6.99;-0.47;-0.22;-0.09;60.17;-0.89;CO33
1;13;;0.075;N;-6.88;-0.47;-0.37;-0.09;60.22;-0.85;CO32
1;13;;0.075;N;-50.09;0.25;4.50;0.04;102.09;0.34;CO25
1;13;;0.075;V_y;-42.77;0.42;3.75;0.07;72.43;0.69;CO35
1;13;;0.075;V_y;-18.48;-0.47;0.91;-0.07;87.62;-0.70;CO38
1;13;;0.075;V_z;-45.95;0.03;4.79;0.00;105.67;0.04;CO24
1;13;;0.075;V_z;-6.88;-0.47;-0.37;-0.09;60.22;-0.85;CO32
1;13;;0.075;M_T;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_T;-6.99;-0.47;-0.28;-0.09;60.16;-0.85;CO33
1;13;;0.075;M_y;-35.37;-0.29;2.73;-0.04;111.21;-0.35;CO27
1;13;;0.075;M_y;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_z;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_z;-6.99;-0.47;-0.28;-0.09;60.16;-0.85;CO33
1;13;;0.075;N;-6.88;-0.47;-0.37;-0.09;60.22;-0.85;CO32
1;13;;0.075;N;-50.09;0.25;4.50;0.04;102.09;0.34;CO25
1;13;;0.075;V_y;-42.77;0.42;3.75;0.07;72.43;0.69;CO35
1;13;;0.075;V_y;-18.48;-0.47;0.91;-0.07;87.62;-0.70;CO38
1;13;;0.075;V_z;-45.95;0.03;4.79;0.00;105.67;0.04;CO24
1;13;;0.075;V_z;-6.88;-0.47;-0.37;-0.09;60.22;-0.85;CO32
1;13;;0.075;M_T;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_T;-6.99;-0.47;-0.28;-0.09;60.16;-0.85;CO33
1;13;;0.075;M_y;-35.37;-0.29;2.73;-0.04;111.21;-0.35;CO27
1;13;;0.075;M_y;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_z;-31.22;0.42;2.59;0.08;44.85;0.82;CO30
1;13;;0.075;M_z;-6.99;-0.47;-0.28;-0.09;60.16;-0.85;CO33
1;13;128;0.150;N;-6.89;-0.47;-0.44;-0.09;60.19;-0.80;CO32
1;13;128;0.150;N;-50.10;0.25;4.43;0.04;102.43;0.31;CO25
1;13;128;0.150;V_y;-42.77;0.42;3.68;0.07;72.71;0.65;CO35
1;13;128;0.150;V_y;-18.49;-0.47;0.84;-0.08;87.69;-0.66;CO38
1;13;128;0.150;V_z;-45.96;0.03;4.72;0.00;106.02;0.03;CO24
1;13;128;0.150;V_z;-6.89;-0.47;-0.44;-0.09;60.19;-0.80;CO32
1;13;128;0.150;M_T;-31.23;0.42;2.52;0.08;45.04;0.79;CO30
1;13;128;0.150;M_T;-7.00;-0.47;-0.35;-0.09;60.13;-0.81;CO33
1;13;128;0.150;M_y;-35.37;-0.29;2.66;-0.04;111.42;-0.32;CO27
1;13;128;0.150;M_y;-31.23;0.42;2.52;0.08;45.04;0.79;CO30
1;13;128;0.150;M_z;-31.23;0.42;2.52;0.08;45.04;0.79;CO30
1;13;128;0.150;M_z;-7.00;-0.47;-0.35;-0.09;60.13;-0.81;CO33
1;14;15;0.000;N;-20.68;-0.26;-14.15;-0.03;21.90;0.57;CO32
1;14;15;0.000;N;-49.51;0.10;-23.87;0.02;44.46;-0.46;CO25
1;14;15;0.000;V_y;-27.11;0.27;-11.23;0.04;21.05;-0.56;CO30
1;14;15;0.000;V_y;-20.68;-0.26;-14.15;-0.03;21.90;0.57;CO32
1;14;15;0.000;V_z;-25.48;-0.01;-10.99;-0.01;28.82;0.00;CO29
1;14;15;0.000;V_z;-45.57;-0.09;-25.59;-0.02;44.94;0.47;CO27
1;14;15;0.000;M_T;-27.11;0.27;-11.23;0.04;21.05;-0.56;CO30
1;14;15;0.000;M_T;-20.69;-0.26;-14.07;-0.04;22.24;0.58;CO33
1;14;15;0.000;M_y;-48.55;-0.01;-23.70;0.00;49.14;0.00;CO24
1;14;15;0.000;M_y;-25.52;-0.02;-13.87;-0.01;13.82;-0.01;CO31
1;14;15;0.000;M_z;-32.84;-0.20;-20.11;-0.03;34.06;0.69;CO38
1;14;15;0.000;M_z;-39.34;0.22;-17.34;0.04;32.75;-0.66;CO35
1;14;;0.037;N;-20.68;-0.26;-14.18;-0.03;21.37;0.58;CO32
1;14;;0.037;N;-49.52;0.10;-23.91;0.02;43.57;-0.46;CO25
1;14;;0.037;V_y;-27.12;0.27;-11.27;0.04;20.63;-0.57;CO30
1;14;;0.037;V_y;-20.68;-0.26;-14.18;-0.03;21.37;0.58;CO32
1;14;;0.037;V_z;-25.48;-0.01;-11.02;-0.01;28.41;0.00;CO29
1;14;;0.037;V_z;-45.57;-0.09;-25.62;-0.02;43.98;0.48;CO27
1;14;;0.037;M_T;-27.12;0.27;-11.27;0.04;20.63;-0.57;CO30
1;14;;0.037;M_T;-20.70;-0.26;-14.10;-0.04;21.71;0.59;CO33
1;14;;0.037;M_y;-48.55;-0.01;-23.73;0.00;48.26;0.00;CO24
1;14;;0.037;M_y;-25.53;-0.02;-13.91;-0.01;13.30;-0.01;CO31
1;14;;0.037;M_z;-32.84;-0.20;-20.15;-0.03;33.31;0.70;CO38
1;14;;0.037;M_z;-39.34;0.22;-17.38;0.04;32.10;-0.67;CO35
1;14;;0.037;N;-20.68;-0.26;-14.18;-0.03;21.37;0.58;CO32
1;14;;0.037;N;-49.52;0.10;-23.91;0.02;43.57;-0.46;CO25
1;14;;0.037;V_y;-27.12;0.27;-11.27;0.04;20.63;-0.57;CO30
1;14;;0.037;V_y;-20.68;-0.26;-14.18;-0.03;21.37;0.58;CO32
1;14;;0.037;V_z;-25.48;-0.01;-11.02;-0.01;28.41;0.00;CO29
1;14;;0.037;V_z;-45.57;-0.09;-25.62;-0.02;43.98;0.48;CO27
