Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
39;M_z;-3.74;-2.02;5.79;0.00;0.00;-0.01;CO38
Extremes;;1.56;3.23;8.80;0.00;0.00;0.01;
39;;-3.77;-2.02;3.76;0.00;0.00;-0.01;
39;;;;;;;;
45;P_x;3.73;-2.03;5.65;0.00;0.00;0.01;CO38
45;P_x;-1.58;3.26;4.83;0.00;0.00;-0.01;CO29
45;P_y;-1.58;3.26;4.83;0.00;0.00;-0.01;CO29
45;P_y;3.73;-2.03;5.65;0.00;0.00;0.01;CO38
45;P_z;-0.33;1.95;8.64;0.00;0.00;0.00;CO24
45;P_z;3.46;-2.00;3.64;0.00;0.00;0.01;CO32
45;M_x;0.35;0.00;4.34;0.00;0.00;0.00;CO20
45;M_x;0.35;0.00;4.34;0.00;0.00;0.00;CO20
45;M_y;0.35;0.00;4.34;0.00;0.00;0.00;CO20
45;M_y;0.35;0.00;4.34;0.00;0.00;0.00;CO20
45;M_z;3.73;-2.03;5.65;0.00;0.00;0.01;CO38
45;M_z;-1.34;3.26;6.83;0.00;0.00;-0.01;CO34
Extremes;;3.73;3.26;8.64;0.00;0.00;0.01;
45;;-1.58;-2.03;3.64;0.00;0.00;-0.01;
45;;;;;;;;
46;P_x;3.75;5.21;4.41;0.00;0.00;0.00;CO31
46;P_x;-0.08;1.97;19.17;0.00;0.00;0.00;CO24
46;P_y;3.75;5.21;4.41;0.00;0.00;0.00;CO31
46;P_y;0.92;-4.64;13.10;0.00;0.00;0.00;CO38
46;P_z;-0.08;1.97;19.17;0.00;0.00;0.00;CO24
46;P_z;3.75;5.21;4.41;0.00;0.00;0.00;CO31
46;M_x;1.29;0.00;8.12;0.00;0.00;0.00;CO20
46;M_x;1.29;0.00;8.12;0.00;0.00;0.00;CO20
46;M_y;1.29;0.00;8.12;0.00;0.00;0.00;CO20
46;M_y;1.29;0.00;8.12;0.00;0.00;0.00;CO20
46;M_z;1.29;0.00;8.12;0.00;0.00;0.00;CO20
46;M_z;1.29;0.00;8.12;0.00;0.00;0.00;CO20
Extremes;;3.75;5.21;19.17;0.00;0.00;0.00;
46;;-0.08;-4.64;4.41;0.00;0.00;0.00;
46;;;;;;;;
47;P_x;0.00;2.77;18.72;0.00;0.00;0.00;CO26
47;P_x;-3.59;4.75;4.73;0.00;0.00;0.00;CO29
47;P_y;-3.59;4.75;4.73;0.00;0.00;0.00;CO29
47;P_y;-0.92;-5.16;12.80;0.00;0.00;0.00;CO38
47;P_z;0.00;2.77;18.72;0.00;0.00;0.00;CO26
47;P_z;-3.59;4.75;4.73;0.00;0.00;0.00;CO29
47;M_x;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
47;M_x;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
47;M_y;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
47;M_y;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
47;M_z;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
47;M_z;-1.21;0.00;8.27;0.00;0.00;0.00;CO20
Extremes;;0.00;4.75;18.72;0.00;0.00;0.00;
47;;-3.59;-5.16;4.73;0.00;0.00;0.00;
47;;;;;;;;
48;P_x;0.00;-2.82;17.05;0.00;0.00;0.00;CO28
48;P_x;-0.07;-2.75;17.05;0.00;0.00;0.00;CO27
48;P_y;-0.03;5.24;7.91;0.00;0.00;0.00;CO29
48;P_y;0.00;-4.64;12.79;0.00;0.00;0.00;CO38
48;P_z;-0.07;-2.75;17.05;0.00;0.00;0.00;CO27
48;P_z;-0.03;5.24;7.91;0.00;0.00;0.00;CO29
48;M_x;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
48;M_x;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
48;M_y;-0.03;0.00;8.00;0.00;0.00;0.00;CO20
