Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
8;4;5.000;;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;;2.500;u_X;5.8;1.0;5.7;0.1;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_X;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;3.000;u_Y;5.9;0.9;5.9;0.1;-0.1;0.2;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;u_Y;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_Z;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;u_Z;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_X;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_Y;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Y;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;5.9;1.0;5.9;0.1;3.3;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;0.0;0.0;0.0;0.0;-1.6;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;;
9;10;0.000;;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;3.6;0.6;3.5;0.1;1.2;-0.1;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;4.0;0.7;4.0;0.1;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;;2.238;u_X;4.0;0.7;4.0;0.1;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_X;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.500;u_Y;4.1;0.7;4.1;0.1;0.3;0.1;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;u_Y;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_Z;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;u_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_X;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_Y;2.9;-0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Y;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;4.1;0.7;4.1;0.1;2.5;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;0.0;-0.1;0.0;0.0;-1.0;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
10;11;0.000;;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;3.6;-3.6;0.4;0.1;0.3;1.7;0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;3.6;-3.6;0.4;0.1;0.3;1.7;0.1;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;11;0.000;u_X;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;3.000;u_X;5.1;-5.0;0.9;0.1;0.3;-0.3;0.3;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;u_Y;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_Y;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;u_Z;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_Z;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_X;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_X;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_Y;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_Y;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_Z;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_Z;0.0;0.0;0.0;0.0;0.3;2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;5.1;0.0;1.3;0.2;0.4;2.5;0.4;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;0.0;-5.0;0.0;0.0;0.3;-2.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;;
11;12;0.000;;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;8.1;-3.2;1.9;7.2;3.4;-5.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;u_X;8.1;-3.2;1.9;7.2;3.4;-5.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_X;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_Y;8.1;-3.2;1.9;7.2;3.4;-5.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_Y;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_Z;8.1;-3.2;1.9;7.2;3.4;-5.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_Z;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;Beam | 1 - IPE 500 | L : 1.650 m
