Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
12;13;0.000;κ_y;-0.02;0.00;0.03;-0.6;0.1;-0.1;CO29
12;13;0.000;κ_z;0.00;0.00;0.06;0.5;0.5;0.2;CO37
12;13;0.000;κ_z;-0.02;0.00;0.03;-0.6;0.1;-0.1;CO35
Total;;;;0.00;0.00;0.06;0.5;0.8;0.2;
12;;;;-0.02;0.00;0.02;-0.6;0.1;-0.1;
;;;;;;;;;;
13;14;0.000;max;0.00;0.00;0.01;1.2;1.1;0.2;
13;14;0.000;min;-0.02;0.00;0.00;-1.2;0.4;-0.2;
13;;0.075;max;0.00;0.00;0.01;1.2;1.1;0.2;
13;;0.075;min;-0.02;0.00;0.00;-1.2;0.4;-0.2;
13;;0.075;max;0.00;0.00;0.01;1.2;1.1;0.2;
13;;0.075;min;-0.02;0.00;0.00;-1.2;0.4;-0.2;
13;128;0.150;max;0.00;0.00;0.01;1.2;1.1;0.2;
13;128;0.150;min;-0.02;0.00;0.00;-1.3;0.4;-0.2;
Extremes;14;0.000;ε_x;0.00;0.00;0.01;1.2;1.1;0.2;CO32
13;128;0.150;ε_x;-0.02;0.00;0.00;-1.3;0.4;-0.2;CO25
13;128;0.150;γ_xy;0.00;0.00;0.01;1.2;1.1;0.2;CO35
13;;0.131;γ_xy;-0.02;0.00;0.00;-1.3;0.4;-0.2;CO38
13;14;0.000;γ_xz;0.00;0.00;0.01;1.2;1.1;0.2;CO24
13;128;0.150;γ_xz;-0.02;0.00;0.00;-1.3;0.4;-0.2;CO32
13;128;0.150;κ_x;0.00;0.00;0.01;1.2;1.1;0.2;CO30
13;128;0.150;κ_x;-0.02;0.00;0.00;-1.3;0.4;-0.2;CO33
13;128;0.150;κ_y;0.00;0.00;0.01;1.2;1.1;0.2;CO27
13;14;0.000;κ_y;-0.02;0.00;0.00;-1.2;0.4;-0.2;CO30
13;14;0.000;κ_z;0.00;0.00;0.01;1.2;1.1;0.2;CO30
13;14;0.000;κ_z;-0.02;0.00;0.00;-1.2;0.4;-0.2;CO33
Total;;;;0.00;0.00;0.01;1.2;1.1;0.2;
13;;;;-0.02;0.00;0.00;-1.3;0.4;-0.2;
;;;;;;;;;;
14;15;0.000;max;-0.01;0.00;-0.03;0.5;0.5;0.2;
14;15;0.000;min;-0.02;0.00;-0.07;-0.5;0.1;-0.1;
14;;0.037;max;-0.01;0.00;-0.03;0.5;0.5;0.2;
14;;0.037;min;-0.02;0.00;-0.07;-0.5;0.1;-0.1;
14;;0.037;max;-0.01;0.00;-0.03;0.5;0.5;0.2;
14;;0.037;min;-0.02;0.00;-0.07;-0.5;0.1;-0.1;
14;125;0.075;max;-0.01;0.00;-0.03;0.5;0.5;0.2;
