Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
8;4;5.000;V_z;-14.54;-0.25;-1.76;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;;1.000;M_T;-15.76;0.16;1.60;0.00;2.24;-0.21;Beam | 2 - HEA 160 | L : 5.000 m
8;;3.500;M_T;-15.00;-0.11;-1.24;0.00;2.39;-0.26;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;M_y;-15.38;0.02;0.01;0.00;3.24;-0.32;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;M_y;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;M_z;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;M_z;-15.30;0.00;-0.31;0.00;3.20;-0.32;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-14.54;0.26;2.88;0.00;3.24;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-16.06;-0.25;-1.76;0.00;0.00;-0.32;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;-16.25;0.06;0.44;0.00;3.14;-0.29;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;-16.10;0.00;-0.32;0.00;3.17;-0.30;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-15.41;-0.26;-1.94;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-15.41;-0.26;-1.94;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;N;-15.41;-0.26;-1.94;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
